$0;1716272330173033688;1.14;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716272330176252035;public org.mybatis.jpetstore.service.AccountService.<init>(org.mybatis.jpetstore.mapper.AccountMapper);<no-session-id>;5643151070583586817;1716272330175634421;1716272330175648546;MacBook-Pro.local;0;0
$1;1716272330585354941;public org.mybatis.jpetstore.service.CatalogService.<init>(org.mybatis.jpetstore.mapper.CategoryMapper, org.mybatis.jpetstore.mapper.ItemMapper, org.mybatis.jpetstore.mapper.ProductMapper);<no-session-id>;5643151070583586818;1716272330585333655;1716272330585349534;MacBook-Pro.local;0;0
$1;1716272330782598849;public org.mybatis.jpetstore.service.OrderService.<init>(org.mybatis.jpetstore.mapper.ItemMapper, org.mybatis.jpetstore.mapper.OrderMapper, org.mybatis.jpetstore.mapper.SequenceMapper, org.mybatis.jpetstore.mapper.LineItemMapper);<no-session-id>;5643151070583586819;1716272330782575383;1716272330782593932;MacBook-Pro.local;0;0
