$0;1716270003464262204;1.15.4;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716270003489264336;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;2884977773795868673;1716270003487226801;1716270003488975756;MacBook-Pro.local;0;0
$1;1716270003503581671;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;2884977773795868674;1716270003503537631;1716270003503573579;MacBook-Pro.local;1;1
$1;1716270003503627957;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;2884977773795868674;1716270003489384387;1716270003503623054;MacBook-Pro.local;0;0
$1;1716270003503746462;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;2884977773795868675;1716270003503729862;1716270003503741966;MacBook-Pro.local;0;0
$1;1716270004014128504;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;2884977773795868676;1716270004014102945;1716270004014119847;MacBook-Pro.local;0;0
$1;1716270004014208860;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;2884977773795868677;1716270004014196716;1716270004014204328;MacBook-Pro.local;1;1
$1;1716270004014225730;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;2884977773795868677;1716270004014182755;1716270004014221873;MacBook-Pro.local;0;0
$1;1716270004016034009;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;2884977773795868678;1716270004015980511;1716270004016026574;MacBook-Pro.local;0;0
$1;1716270004024988067;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;2884977773795868679;1716270004024960149;1716270004024982406;MacBook-Pro.local;0;0
$1;1716270004025239558;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;2884977773795868680;1716270004025225501;1716270004025233701;MacBook-Pro.local;1;1
$1;1716270004025303286;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;2884977773795868680;1716270004025209500;1716270004025298587;MacBook-Pro.local;0;0
$1;1716270004025395324;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;2884977773795868681;1716270004025378652;1716270004025390674;MacBook-Pro.local;0;0
$1;1716270004030882844;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;2884977773795868682;1716270004030861307;1716270004030875627;MacBook-Pro.local;0;0
$1;1716270004031133736;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;2884977773795868683;1716270004031120039;1716270004031128154;MacBook-Pro.local;1;1
$1;1716270004031155399;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;2884977773795868683;1716270004031104554;1716270004031149328;MacBook-Pro.local;0;0
$1;1716270004031236211;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;2884977773795868684;1716270004031218897;1716270004031229895;MacBook-Pro.local;0;0
$1;1716270004267757822;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;2884977773795868685;1716270004267733964;1716270004267749818;MacBook-Pro.local;0;0
$1;1716270004268339268;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;2884977773795868686;1716270004267856646;1716270004268331913;MacBook-Pro.local;0;0
