$0;1716501112616537085;1.14;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716501112623676239;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393217;1716501112623543861;1716501112623552831;MacBook-Pro.local;0;0
$1;1716501112646033335;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4594656782336393218;1716501112646011362;1716501112646026278;MacBook-Pro.local;1;1
$1;1716501112646063866;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4594656782336393218;1716501112623767377;1716501112646059943;MacBook-Pro.local;0;0
$1;1716501112646203227;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;4594656782336393219;1716501112646190617;1716501112646198846;MacBook-Pro.local;0;0
$1;1716501112812619211;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393220;1716501112812606072;1716501112812610403;MacBook-Pro.local;0;0
$1;1716501112812699882;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4594656782336393221;1716501112812693293;1716501112812695948;MacBook-Pro.local;1;1
$1;1716501112812712764;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4594656782336393221;1716501112812676401;1716501112812709310;MacBook-Pro.local;0;0
$1;1716501112813714874;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;4594656782336393222;1716501112813698081;1716501112813708752;MacBook-Pro.local;0;0
$1;1716501112815964022;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393223;1716501112815952954;1716501112815957363;MacBook-Pro.local;0;0
$1;1716501112816039529;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4594656782336393224;1716501112816033013;1716501112816035546;MacBook-Pro.local;1;1
$1;1716501112816054367;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4594656782336393224;1716501112816016642;1716501112816050740;MacBook-Pro.local;0;0
$1;1716501112817483209;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;4594656782336393225;1716501112816185748;1716501112817472075;MacBook-Pro.local;0;0
$1;1716501112820221534;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393226;1716501112820211241;1716501112820215329;MacBook-Pro.local;0;0
$1;1716501112820291427;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4594656782336393227;1716501112820285232;1716501112820287733;MacBook-Pro.local;1;1
$1;1716501112820304528;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4594656782336393227;1716501112820269030;1716501112820301361;MacBook-Pro.local;0;0
$1;1716501112820446939;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;4594656782336393228;1716501112820431453;1716501112820442924;MacBook-Pro.local;0;0
$1;1716501112867505104;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393229;1716501112867492135;1716501112867497070;MacBook-Pro.local;0;0
$1;1716501112867671652;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4594656782336393230;1716501112867658405;1716501112867666860;MacBook-Pro.local;0;0
$1;1716501112867788187;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;4594656782336393231;1716501112867775553;1716501112867783873;MacBook-Pro.local;0;0
$1;1716501112873170504;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393232;1716501112873158526;1716501112873163118;MacBook-Pro.local;0;0
$1;1716501112873240141;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4594656782336393233;1716501112873231605;1716501112873234732;MacBook-Pro.local;0;0
$1;1716501112873590032;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;4594656782336393234;1716501112873581582;1716501112873585225;MacBook-Pro.local;0;0
$1;1716501112876506407;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393235;1716501112876495314;1716501112876499773;MacBook-Pro.local;0;0
$1;1716501112876871066;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4594656782336393236;1716501112876862438;1716501112876866028;MacBook-Pro.local;0;0
$1;1716501112877376211;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategoryId();<no-session-id>;4594656782336393237;1716501112877361047;1716501112877370675;MacBook-Pro.local;0;0
$1;1716501112890289243;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393238;1716501112890278491;1716501112890282651;MacBook-Pro.local;0;0
$1;1716501112890341393;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4594656782336393239;1716501112890335244;1716501112890337693;MacBook-Pro.local;0;0
$1;1716501112890494932;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getKeyword();<no-session-id>;4594656782336393240;1716501112890482139;1716501112890490986;MacBook-Pro.local;0;0
$1;1716501112892591641;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393241;1716501112892580003;1716501112892584474;MacBook-Pro.local;0;0
$1;1716501112892647440;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4594656782336393242;1716501112892640872;1716501112892643751;MacBook-Pro.local;0;0
$1;1716501112892815461;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.web.actions.CatalogActionBean.getProduct();<no-session-id>;4594656782336393243;1716501112892799841;1716501112892810896;MacBook-Pro.local;0;0
$1;1716501112894881547;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4594656782336393244;1716501112894869178;1716501112894874837;MacBook-Pro.local;0;0
