$0;1716254188754621406;1.15.4;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716254188764402662;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4712313322601447425;1716254188762751432;1716254188764245465;MacBook-Pro.local;0;0
$1;1716254188770522997;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4712313322601447426;1716254188770491841;1716254188770518514;MacBook-Pro.local;1;1
$1;1716254188770547566;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4712313322601447426;1716254188764540567;1716254188770545215;MacBook-Pro.local;0;0
$1;1716254188770613067;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;4712313322601447427;1716254188770604712;1716254188770610804;MacBook-Pro.local;0;0
$1;1716254188947598953;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4712313322601447428;1716254188947579142;1716254188947592052;MacBook-Pro.local;0;0
$1;1716254188947668009;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4712313322601447429;1716254188947652974;1716254188947658197;MacBook-Pro.local;1;1
$1;1716254188947680865;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4712313322601447429;1716254188947641741;1716254188947678291;MacBook-Pro.local;0;0
$1;1716254188948718043;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;4712313322601447430;1716254188948700423;1716254188948712701;MacBook-Pro.local;0;0
$1;1716254188951199431;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4712313322601447431;1716254188951183683;1716254188951193940;MacBook-Pro.local;0;0
$1;1716254188951255112;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4712313322601447432;1716254188951246539;1716254188951251789;MacBook-Pro.local;1;1
$1;1716254188951266365;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4712313322601447432;1716254188951234112;1716254188951263735;MacBook-Pro.local;0;0
$1;1716254188951328489;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;4712313322601447433;1716254188951317426;1716254188951325266;MacBook-Pro.local;0;0
$1;1716254188954411134;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4712313322601447434;1716254188954396175;1716254188954405684;MacBook-Pro.local;0;0
$1;1716254188954725269;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;4712313322601447435;1716254188954709651;1716254188954720217;MacBook-Pro.local;1;1
$1;1716254188954749708;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;4712313322601447435;1716254188954672282;1716254188954745020;MacBook-Pro.local;0;0
$1;1716254188954816219;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;4712313322601447436;1716254188954803325;1716254188954811719;MacBook-Pro.local;0;0
$1;1716254188989650909;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;4712313322601447437;1716254188989633360;1716254188989644711;MacBook-Pro.local;0;0
$1;1716254188989747859;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;4712313322601447438;1716254188989734326;1716254188989744038;MacBook-Pro.local;0;0
$1;1716254188989802009;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;4712313322601447439;1716254188989790354;1716254188989798674;MacBook-Pro.local;0;0
