$0;1716499768174875332;1.14;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716499768187603133;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515777;1716499768187374488;1716499768187385599;MacBook-Pro.local;0;0
$1;1716499768209104171;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1976235811485515778;1716499768208687733;1716499768209095673;MacBook-Pro.local;1;1
$1;1716499768209732051;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1976235811485515778;1716499768187778591;1716499768209724361;MacBook-Pro.local;0;0
$1;1716499768209979302;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;1976235811485515779;1716499768209966174;1716499768209975449;MacBook-Pro.local;0;0
$1;1716499768378941595;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515780;1716499768378930538;1716499768378934150;MacBook-Pro.local;0;0
$1;1716499768379006696;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1976235811485515781;1716499768379001949;1716499768379003840;MacBook-Pro.local;1;1
$1;1716499768379015318;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1976235811485515781;1716499768378989728;1716499768379013623;MacBook-Pro.local;0;0
$1;1716499768379968455;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;1976235811485515782;1716499768379955817;1716499768379963598;MacBook-Pro.local;0;0
$1;1716499768382774438;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515783;1716499768382765320;1716499768382768924;MacBook-Pro.local;0;0
$1;1716499768382835192;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1976235811485515784;1716499768382830344;1716499768382832511;MacBook-Pro.local;1;1
$1;1716499768382844080;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1976235811485515784;1716499768382817248;1716499768382842119;MacBook-Pro.local;0;0
$1;1716499768384139333;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;1976235811485515785;1716499768382987905;1716499768384128782;MacBook-Pro.local;0;0
$1;1716499768387449707;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515786;1716499768387435690;1716499768387438848;MacBook-Pro.local;0;0
$1;1716499768387511607;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;1976235811485515787;1716499768387506683;1716499768387508632;MacBook-Pro.local;1;1
$1;1716499768387523915;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;1976235811485515787;1716499768387493518;1716499768387521496;MacBook-Pro.local;0;0
$1;1716499768387668004;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;1976235811485515788;1716499768387653299;1716499768387664482;MacBook-Pro.local;0;0
$1;1716499768443926877;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515789;1716499768443915642;1716499768443920011;MacBook-Pro.local;0;0
$1;1716499768444642091;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;1976235811485515790;1716499768444625491;1716499768444636576;MacBook-Pro.local;0;0
$1;1716499768444773124;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;1976235811485515791;1716499768444762271;1716499768444769804;MacBook-Pro.local;0;0
$1;1716499768450278480;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515792;1716499768450269845;1716499768450272827;MacBook-Pro.local;0;0
$1;1716499768450326502;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;1976235811485515793;1716499768450321059;1716499768450322852;MacBook-Pro.local;0;0
$1;1716499768450372483;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;1976235811485515794;1716499768450368156;1716499768450369914;MacBook-Pro.local;0;0
$1;1716499768453064417;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;1976235811485515795;1716499768453056313;1716499768453059329;MacBook-Pro.local;0;0
$1;1716499768453112092;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;1976235811485515796;1716499768453107415;1716499768453109265;MacBook-Pro.local;0;0
$1;1716499768453266390;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategoryId();<no-session-id>;1976235811485515797;1716499768453255077;1716499768453262966;MacBook-Pro.local;0;0
