$0;1716252476095193028;1.15.4;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716252476097199846;public org.mybatis.jpetstore.service.AccountService.<init>(org.mybatis.jpetstore.mapper.AccountMapper);<no-session-id>;6262396019347030017;1716252476096686898;1716252476097043231;MacBook-Pro.local;0;0
$1;1716252476229594936;public org.mybatis.jpetstore.service.CatalogService.<init>(org.mybatis.jpetstore.mapper.CategoryMapper, org.mybatis.jpetstore.mapper.ItemMapper, org.mybatis.jpetstore.mapper.ProductMapper);<no-session-id>;6262396019347030018;1716252476229583729;1716252476229591038;MacBook-Pro.local;0;0
$1;1716252476269066943;public org.mybatis.jpetstore.service.OrderService.<init>(org.mybatis.jpetstore.mapper.ItemMapper, org.mybatis.jpetstore.mapper.OrderMapper, org.mybatis.jpetstore.mapper.SequenceMapper, org.mybatis.jpetstore.mapper.LineItemMapper);<no-session-id>;6262396019347030019;1716252476269055556;1716252476269063288;MacBook-Pro.local;0;0
