$0;1716252401900604897;1.15.4;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716252401914145312;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199425;1716252401912755598;1716252401913986251;MacBook-Pro.local;0;0
$1;1716252401920252432;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;9057583275572199426;1716252401920226380;1716252401920247170;MacBook-Pro.local;1;1
$1;1716252401920344522;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;9057583275572199426;1716252401914217594;1716252401920339244;MacBook-Pro.local;0;0
$1;1716252401920427693;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;9057583275572199427;1716252401920415713;1716252401920424442;MacBook-Pro.local;0;0
$1;1716252402129081466;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199428;1716252402129056878;1716252402129071875;MacBook-Pro.local;0;0
$1;1716252402129218898;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;9057583275572199429;1716252402129203254;1716252402129214387;MacBook-Pro.local;1;1
$1;1716252402129233612;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;9057583275572199429;1716252402129129479;1716252402129230942;MacBook-Pro.local;0;0
$1;1716252402130073415;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;9057583275572199430;1716252402130055849;1716252402130068542;MacBook-Pro.local;0;0
$1;1716252402132369066;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199431;1716252402132353312;1716252402132363761;MacBook-Pro.local;0;0
$1;1716252402132425696;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;9057583275572199432;1716252402132416620;1716252402132422245;MacBook-Pro.local;1;1
$1;1716252402132438979;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;9057583275572199432;1716252402132406266;1716252402132436108;MacBook-Pro.local;0;0
$1;1716252402132503435;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;9057583275572199433;1716252402132491402;1716252402132500140;MacBook-Pro.local;0;0
$1;1716252402135343942;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199434;1716252402135327444;1716252402135338081;MacBook-Pro.local;0;0
$1;1716252402135400122;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;9057583275572199435;1716252402135391625;1716252402135396857;MacBook-Pro.local;1;1
$1;1716252402135413862;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;9057583275572199435;1716252402135381866;1716252402135409418;MacBook-Pro.local;0;0
$1;1716252402135484322;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;9057583275572199436;1716252402135470036;1716252402135478992;MacBook-Pro.local;0;0
$1;1716252402162485226;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199437;1716252402162466688;1716252402162478523;MacBook-Pro.local;0;0
$1;1716252402162572423;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;9057583275572199438;1716252402162560087;1716252402162568675;MacBook-Pro.local;0;0
$1;1716252402162624575;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;9057583275572199439;1716252402162613902;1716252402162621617;MacBook-Pro.local;0;0
$1;1716252402164755844;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199440;1716252402164739775;1716252402164750369;MacBook-Pro.local;0;0
$1;1716252402164802283;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;9057583275572199441;1716252402164792511;1716252402164798425;MacBook-Pro.local;0;0
$1;1716252402164852298;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;9057583275572199442;1716252402164843345;1716252402164849086;MacBook-Pro.local;0;0
$1;1716252402166623013;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199443;1716252402166607518;1716252402166617546;MacBook-Pro.local;0;0
$1;1716252402166673031;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;9057583275572199444;1716252402166662830;1716252402166669160;MacBook-Pro.local;0;0
$1;1716252402166733657;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategoryId();<no-session-id>;9057583275572199445;1716252402166721862;1716252402166730384;MacBook-Pro.local;0;0
$1;1716252402179797903;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;9057583275572199446;1716252402179775925;1716252402179792225;MacBook-Pro.local;0;0
$1;1716252402179844955;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;9057583275572199447;1716252402179835543;1716252402179841764;MacBook-Pro.local;0;0
