$0;1716272235801718055;1.14;KIEKER;MacBook-Pro.local;1;false;0;NANOSECONDS;0
$1;1716272235834813282;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729345;1716272235833367433;1716272235833384606;MacBook-Pro.local;0;0
$1;1716272235984929662;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;5981061780124729346;1716272235984902020;1716272235984919148;MacBook-Pro.local;1;1
$1;1716272235985438105;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;5981061780124729346;1716272235835048078;1716272235985376608;MacBook-Pro.local;0;0
$1;1716272235985705412;public java.util.List org.mybatis.jpetstore.web.actions.OrderActionBean.getOrderList();<no-session-id>;5981061780124729347;1716272235985685875;1716272235985699993;MacBook-Pro.local;0;0
$1;1716272236558016093;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729348;1716272236558004780;1716272236558008519;MacBook-Pro.local;0;0
$1;1716272236558092100;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;5981061780124729349;1716272236558086651;1716272236558088851;MacBook-Pro.local;1;1
$1;1716272236558104646;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;5981061780124729349;1716272236558071850;1716272236558101808;MacBook-Pro.local;0;0
$1;1716272236561824261;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;5981061780124729350;1716272236561805185;1716272236561817461;MacBook-Pro.local;0;0
$1;1716272236572340184;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729351;1716272236572099516;1716272236572103473;MacBook-Pro.local;0;0
$1;1716272236572422681;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;5981061780124729352;1716272236572416854;1716272236572419415;MacBook-Pro.local;1;1
$1;1716272236572434279;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;5981061780124729352;1716272236572400883;1716272236572431775;MacBook-Pro.local;0;0
$1;1716272236574506592;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isShippingAddressRequired();<no-session-id>;5981061780124729353;1716272236572652792;1716272236574496189;MacBook-Pro.local;0;0
$1;1716272236581355367;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729354;1716272236581340005;1716272236581346443;MacBook-Pro.local;0;0
$1;1716272236581505056;public org.mybatis.jpetstore.domain.Order.<init>();<no-session-id>;5981061780124729355;1716272236581499658;1716272236581501814;MacBook-Pro.local;1;1
$1;1716272236581518975;public org.mybatis.jpetstore.web.actions.OrderActionBean.<init>();<no-session-id>;5981061780124729355;1716272236581482994;1716272236581516013;MacBook-Pro.local;0;0
$1;1716272236581729934;public boolean org.mybatis.jpetstore.web.actions.OrderActionBean.isConfirmed();<no-session-id>;5981061780124729356;1716272236581708893;1716272236581725206;MacBook-Pro.local;0;0
$1;1716272237000962467;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729357;1716272237000949581;1716272237000955147;MacBook-Pro.local;0;0
$1;1716272237005152021;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;5981061780124729358;1716272237005067531;1716272237005141261;MacBook-Pro.local;0;0
$1;1716272237007901308;public org.mybatis.jpetstore.domain.Category org.mybatis.jpetstore.web.actions.CatalogActionBean.getCategory();<no-session-id>;5981061780124729359;1716272237007827115;1716272237007892136;MacBook-Pro.local;0;0
$1;1716272237028289832;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729360;1716272237028276965;1716272237028281865;MacBook-Pro.local;0;0
$1;1716272237028874098;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;5981061780124729361;1716272237028862344;1716272237028866657;MacBook-Pro.local;0;0
$1;1716272237029366144;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;5981061780124729362;1716272237029356516;1716272237029360751;MacBook-Pro.local;0;0
$1;1716272237036456140;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;5981061780124729363;1716272237036445728;1716272237036449509;MacBook-Pro.local;0;0
